Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
PRAMAR,PRAMAR CARIOCA COMERCIO E INDUSTRIA LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,05.685.759/0003-30,"300,000.00",100 mil – 1 milhão,Comércio atacadista de resíduos e sucatas metálicos,87.00,51–200,"Duque de Caxias, Rio de Janeiro",https://www.linkedin.com/jobs/view/auxiliar-de-departamento-pessoal-at-pramar-4205459476,"Atividades de produção de fotografias, exceto aérea e submarina",1,"Fabricação de tintas, vernizes, esmaltes e lacas",1,,,,,,,,,[{'job_industry_list': {'industry': 'Renewable Energy Semiconductor Manufacturing'}}],['Human Resources']
Laboratório Fantasma,LABORATORIO FANTASMA COMERCIO DE ROUPAS LTDA,21.315.061/0001-18,"100,000.00",Até 100 mil,Comércio varejista de artigos do vestuário e acessórios,73.00,51–200,"São Paulo, SP",https://www.linkedin.com/jobs/view/coordenador-label-marketing-vaga-afirmativa-para-pessoas-negras-pretas-e-pardas-at-laborat%25C3%25B3rio-fantasma-4016501745,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",1,Coleta de resíduos não-perigosos,1,,,,,,,,,[{'job_industry_list': {'industry': 'Entertainment Providers'}}],['Marketing and Sales']
Colégio Militar Dom Pedro II,ASSOCIACAO DE PAIS MESTRES E AMIGOS DO COLEGIO MILITAR DOM PEDRO II CZS,35.855.289/0001-05,0.00,Até 100 mil,Atividades associativas não especificadas anteriormente,256.00,201–500,"Brasília, Distrito Federal",https://www.linkedin.com/jobs/view/asa-sul-estagi%25C3%25A1rio-de-psicologia-at-col%25C3%25A9gio-militar-dom-pedro-ii-4017606696,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",2,Comércio atacadista de resíduos e sucatas metálicos,1,,,,,,,,,[{'job_industry_list': {'industry': 'Education'}}],['Education']
SRM ASSET,SRM ASSET MANAGEMENT GESTAO DE RECURSOS LTDA.,33.449.918/0001-71,"300,000.00",100 mil – 1 milhão,********,271.00,201–500,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-dho-s%25C3%25AAnior-at-srm-asset-4026029834,Atividades de teleatendimento,2,Atividades associativas não especificadas anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Investment Management'}}],['Business Development and Sales']
OBRAMAX,BMB MATERIAL DE CONSTRUCAO S.A.,23.476.033/0001-08,"372,300,000.00",100 milhões – 1 bilhão,Comércio varejista de materiais de construção em geral,"1,954.00",1001-5000,"São Paulo, SP",https://www.linkedin.com/jobs/view/gerente-business-partner-de-rh-regional-rio-de-janeiro-at-obramax-4024709180,Abate de aves,1,Comércio varejista de materiais de construção em geral,1,,,,,,,,,[{'job_industry_list': {'industry': 'Wholesale Building Materials'}}],['Business Development and Sales']
LEVTY,LEVTY SISTEMAS LTDA,35.856.750/0001-44,"1,000,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,413.00,201–500,Global,https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-levty-4021668598,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2,Padaria e confeitaria com predominância de revenda,1,,,,,,,,,[{'job_industry_list': {'industry': 'Staffing and Recruiting and Human Resources Services'}}],['Human Resources']
HINOVA Soluções Digitais,HINOVA - SOLUCOES DIGITAIS LTDA,10.628.874/0001-41,"1,000,000.00",100 mil – 1 milhão,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",224.00,201–500,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/administrador-de-banco-de-dados-dba-j%25C3%25BAnior-pleno-at-hinova-solu%25C3%25A7%25C3%25B5es-digitais-4006289111,Locação de automóveis sem condutor,2,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Computer and Network Security'}}],['Information Technology']
Transporte Generoso,V.M.RAMOS & CIA LTDA,00.972.696/0001-18,"225,000.00",100 mil – 1 milhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",759.00,501–1000,"Barra Mansa, Rio de Janeiro",https://www.linkedin.com/jobs/view/sales-development-representative-representante-de-desenvolvimento-de-vendas-at-transporte-generoso-4017610315,Administração de cartões de crédito,1,"Comércio a varejo de automóveis, camionetas e utilitários novos",1,,,,,,,,,[{'job_industry_list': {'industry': 'Freight and Package Transportation'}}],['Sales']
Supreo,SUPREMO COMERCIO DE ALIMENTOS LTDA,04.129.992/0001-02,"100,000.00",Até 100 mil,Padaria e confeitaria com predominância de revenda,6.00,0–10,"São Paulo, SP",https://www.linkedin.com/jobs/view/assistente-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-supreo-4017080493,Comércio atacadista de gás liqüefeito de petróleo,1,Outras atividades associativas profissionais,1,,,,,,,,,[{'job_industry_list': {'industry': 'Wholesale'}}],['Human Resources']
Maza Tarraf,MAZA TARRAF CONSULTORIA DE TRANSPORTES LTDA,07.863.492/0001-98,"1,000.00",Até 100 mil,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,111.00,51–200,"São José do Rio Preto, São Paulo",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-recursos-humanos-escandin%25C3%25A1via-araraquara-at-maza-tarraf-4016230119,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2,Comércio varejista de artigos de óptica,1,,,,,,,,,[{'job_industry_list': {'industry': 'Truck Transportation'}}],['Human Resources']
Empresas Revemar,REVEMAR NORTE COMERCIO DE AUTOMOVEIS LTDA,46.127.182/0001-67,"6,000,000.00",1 – 10 milhões,"Comércio a varejo de automóveis, camionetas e utilitários novos","2,050.00",1001-5000,Brasil,https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-empresas-revemar-4011514731,Comércio varejista de artigos esportivos,1,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",1,,,,,,,,,[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Human Resources']
Transpanorama Transportes,TRANSPANORAMA TRANSPORTES S.A.,01.937.440/0001-32,"100,000,000.00",10 – 100 milhões,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","1,186.00",1001-5000,"Maringá, Paraná",https://www.linkedin.com/jobs/view/instrutor-de-motoristas-at-transpanorama-transportes-4000379819,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",3,Consultoria em publicidade,1,,,,,,,,,[{'job_industry_list': {'industry': 'Truck Transportation'}}],"['Other', 'Management and Manufacturing']"
SGA TI em Nuvem,SGA TECNOLOGIA INTELIGENTE S.A.,12.631.227/0001-14,"1,196,948.00",1 – 10 milhões,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",54.00,51–200,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/banco-de-talentos-afirmativo-mulheres-em-tech-at-sga-ti-em-nuvem-3991984065,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",2,"Atividades de produção de fotografias, exceto aérea e submarina",1,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology']
Neoenergia,NEOENERGIA S.A,01.083.200/0001-18,"9,334,602,302.74",Acima de 1 bilhão,Holdings de instituições não-financeiras,"11,508.00",+10000,"Rio de Janeiro, Rio de Janeiro",https://www.linkedin.com/jobs/view/banco-de-talentos-controlador-a-i-vaga-exclusiva-para-pessoas-com-defici%25C3%25AAncia-at-neoenergia-3985304414,Comércio atacadista de medicamentos e drogas de uso humano,1,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",1,,,,,,,,,[{'job_industry_list': {'industry': 'Utilities'}}],['Human Resources']
Klinycs,KLINYCS APOIO EMPRESARIAL LTDA,39.257.870/0001-86,"10,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,13.00,11–50,"São Pedro, São Paulo",https://www.linkedin.com/jobs/view/psic%25C3%25B3logo-pleno-at-klinycs-3987655917,Corretoras de títulos e valores mobiliários,1,Abate de aves,1,,,,,,,,,[{'job_industry_list': {'industry': 'Public Health'}}],['Health Care Provider']
PlatLog,"PLATLOG IMPORTACAO, LOGISTICA E DISTRIBUICAO LTDA",02.229.804/0001-92,"26,985,200.00",10 – 100 milhões,Serviços combinados de escritório e apoio administrativo,391.00,201–500,,https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-platlog-3888509731,Atividades de associações de defesa de direitos sociais,2,Administração de cartões de crédito,1,,,,,,,,,"[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]","['Other', 'Human Resources']"
wevy,WEVY CLOUD E DIGITAL SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,40.931.148/0001-64,"100,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",438.00,201–500,"Campinas, São Paulo",https://www.linkedin.com/jobs/view/analista-suporte-ti-j%25C3%25BAnior-banco-de-talentos-at-wevy-4014177424,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",1,Comércio atacadista de gás liqüefeito de petróleo,1,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Information Technology']
ByPerson Educacional,ASSOCIACAO DE PRACAS DA POLICIA MILITAR E CORPO DE BOMBEIROS MILITAR DO CEARA,04.597.485/0001-01,0.00,Até 100 mil,Outras atividades associativas profissionais,Não encontrado,+10000,"Valparaíso de Goiás, Goiás",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-byperson-educacional-3862135284,Restaurantes e similares,2,Comércio varejista de artigos esportivos,1,,,,,,,,,"[{'job_industry_list': {'industry': 'Higher Education'}}, {'job_industry_list': {'industry': 'Human Resources Services'}}]",['Human Resources']
Construtora Tenda,CONSTRUTORA TENDA S/A,71.476.527/0001-35,"910,728,801.38",100 milhões – 1 bilhão,Construção de edifícios,"4,779.00",1001-5000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/coordena%25C3%25A7%25C3%25A3o-de-produ%25C3%25A7%25C3%25A3o-at-construtora-tenda-3958127028,Fabricação de medicamentos alopáticos para uso humano,1,Comércio atacadista de medicamentos e drogas de uso humano,1,,,,,,,,,[{'job_industry_list': {'industry': 'Real Estate'}}],"['Other', 'Management and Manufacturing']"
Sistema Divina Providência,ASSOCIACAO DE PROMOCAO HUMANA DIVINA PROVIDENCIA,00.981.069/0001-43,0.00,Até 100 mil,Serviços de assistência social sem alojamento,434.00,201–500,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/instrutor-a-de-jovem-aprendiz-ribeir%25C3%25A3o-das-neves-banco-de-talentos-at-sistema-divina-provid%25C3%25AAncia-3959575574,Organização logística do transporte de carga,1,Corretoras de títulos e valores mobiliários,1,,,,,,,,,[{'job_industry_list': {'industry': 'Philanthropic Fundraising Services'}}],['Education']
Clínica Elo,CLINICA ELO INTERVENCAO COMPORTAMENTAL LTDA,27.425.377/0001-49,"1,000.00",Até 100 mil,Atividades de psicologia e psicanálise,64.00,51–200,"Osasco, São Paulo",https://www.linkedin.com/jobs/view/acompanhante-terap%25C3%25AAutico-at-osasco-e-regi%25C3%25A3o-at-cl%25C3%25ADnica-elo-3965806323,Atividades de condicionamento físico,1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",1,,,,,,,,,[{'job_industry_list': {'industry': 'Health and Human Services'}}],['Other']
Zerezes,"ZEREZES DESIGN, PRODUCAO E COMERCIO DE ARTESANATOS S.A.",18.841.936/0001-00,"8,662,214.11",1 – 10 milhões,Comércio varejista de artigos de óptica,167.00,51–200,"Duque de Caxias, Rio de Janeiro",https://www.linkedin.com/jobs/view/gerente-rio-de-janeiro-at-zerezes-3944008265,"Lanchonetes, casas de chá, de sucos e similares",1,Fabricação de medicamentos alopáticos para uso humano,1,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Other']
Farmácias Nissei,FARMACIA E DROGARIA NISSEI S.A,79.430.682/0001-22,"350,547,890.37",100 milhões – 1 bilhão,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas","5,167.00",5001-10000,"Curitiba, Paraná",https://www.linkedin.com/jobs/view/assistente-de-compras-at-farm%25C3%25A1cias-nissei-3919919346,Fabricação de tubos e acessórios de material plástico para uso na construção,1,Organização logística do transporte de carga,1,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Management and Manufacturing']
Intelbras,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA,82.901.000/0001-27,"2,000,000,000.00",Acima de 1 bilhão,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios","4,847.00",1001-5000,"São José, Santa Catarina",https://www.linkedin.com/jobs/view/002-banco-de-talentos-est%25C3%25A1gio-m%25C3%25A9dio-t%25C3%25A9cnico-t%25C3%25A9cnico-superior-tecnologia-at-intelbras-3921669441,Comércio varejista de produtos saneantes domissanitários,1,Atividades de condicionamento físico,1,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other']
Sales Impact,SALES IMPACT SERVICOS DE MARKETING LTDA.,23.503.080/0001-01,"250,000.00",100 mil – 1 milhão,Consultoria em publicidade,73.00,51–200,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/sales-development-representative-banco-de-talentos-at-sales-impact-3961907847,Comércio varejista de calçados,1,"Lanchonetes, casas de chá, de sucos e similares",1,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development']
VIVA Arte Fotografia,VIVA ARTE EM FOTOGRAFIAS LTDA,26.289.065/0001-92,"100,000.00",Até 100 mil,"Atividades de produção de fotografias, exceto aérea e submarina",68.00,51–200,Natal,https://www.linkedin.com/jobs/view/consultora-de-vendas-at-viva-arte-fotografia-3936168308,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",1,Fabricação de tubos e acessórios de material plástico para uso na construção,1,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development']
Ser Especial - AAIT,SER ESPECIAL - ASSOCIACAO ASSISTENCIAL DE INTEGRACAO AO TRABALHO,05.446.196/0001-66,0.00,Até 100 mil,Serviços de assistência social sem alojamento,247.00,201–500,"SÃO PAULO, São Paulo",https://www.linkedin.com/jobs/view/auxiliar-de-oficinas-terap%25C3%25AAuticas-estudantes-de-psicologia-ou-rec%25C3%25A9m-formados-at-ser-especial-aait-3933899457,Atividades de organizações associativas patronais e empresariais,1,Comércio varejista de produtos saneantes domissanitários,1,,,,,,,,,[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],['Health Care Provider']
FORTLEV,FORTLEV INDUSTRIA E COMERCIO DE PLASTICOS LTDA,10.921.911/0001-05,"849,475,740.00",100 milhões – 1 bilhão,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios","2,058.00",1001-5000,"Serra, Espírito Santo",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-a-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-fortlev-4204836967,Casas lotéricas,1,Comércio varejista de calçados,1,,,,,,,,,[{'job_industry_list': {'industry': 'Construction'}}],['Other']
JCA Contadores,JCW ASSESSORIA CONTABIL E SERVICOS LTDA,15.249.443/0001-98,"80,000.00",Até 100 mil,Atividades de contabilidade,208.00,201–500,"Niterói, Rio de Janeiro",https://www.linkedin.com/jobs/view/assistente-de-vendas-sdr-niter%25C3%25B3i-at-jca-contadores-4126539490,Serviços de engenharia,1,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",1,,,,,,,,,[{'job_industry_list': {'industry': 'Accounting'}}],['Other']
Netvagas,A L DE OLIVEIRA RODRIGUES INFORMATICA,12.546.191/0001-70,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",67.00,51–200,Cotia,https://www.linkedin.com/jobs/view/analista-de-qualidade-de-software-qa-at-netvagas-4233357497,Atividades de monitoramento de sistemas de segurança eletrônico,1,Atividades de organizações associativas patronais e empresariais,1,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Quality Assurance']
Continental,CONTINENTAL BRASIL INDUSTRIA AUTOMOTIVA LTDA,48.754.139/0001-57,"785,036,061.00",100 milhões – 1 bilhão,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias","79,730.00",+10000,"Hannover, Lower Saxony",https://www.linkedin.com/jobs/view/programa-de-est%25C3%25A1gio-continental-2025-at-continental-4232992701,Comércio varejista de outros produtos não especificados anteriormente,1,Casas lotéricas,1,,,,,,,,,[{'job_industry_list': {'industry': 'Automotive'}}],['Administrative']
Presenza Psicologia,PRESENZA PSICOLOGIA LTDA,25.239.876/0001-16,"15,000.00",Até 100 mil,Atividades de psicologia e psicanálise,1.00,0–10,"São José, Santa Catarina",https://www.linkedin.com/jobs/view/vendedor-sc-at-presenza-psicologia-4232954787,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",1,Serviços de engenharia,1,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Sales and Business Development']
Atento,ATENTO BRASIL S/A,02.879.250/0001-79,"1,358,787,123.88",Acima de 1 bilhão,Atividades de teleatendimento,"98,045.00",+10000,"Madrid, Madrid",https://www.linkedin.com/jobs/view/gestor-treinamento-bil%25C3%25ADngue-unidade-nova-s%25C3%25A3o-paulo-zona-sul-de-s%25C3%25A3o-paulo-h%25C3%25ADbrido-at-atento-4232457383,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",1,Atividades de monitoramento de sistemas de segurança eletrônico,1,,,,,,,,,[{'job_industry_list': {'industry': 'Outsourcing and Offshoring Consulting'}}],['Other']
BRF,BRF S.A.,01.838.723/0001-27,"13,653,417,953.36",Acima de 1 bilhão,Abate de aves,"51,471.00",+10000,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-transporte-j%25C3%25BAnior-cont%25C3%25AAiner-luminoterapia-v%25C3%25A1rzea-grande-mt-at-brf-4204700577,Comércio varejista especializado de equipamentos de telefonia e comunicação,2,Comércio varejista de outros produtos não especificados anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],['Management and Manufacturing']
Gallagher,GALLAGHER BRASIL CORRETORA DE SEGUROS LTDA,43.299.211/0001-80,"175,213,932.00",100 milhões – 1 bilhão,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde","42,082.00",+10000,"Rolling Meadows, IL",https://www.linkedin.com/jobs/view/change-management-analyst-s%25C3%25A3o-paulo-at-gallagher-4231724858,"Fabricação de aparelhos e equipamentos de medida, teste e controle",1,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",1,,,,,,,,,[{'job_industry_list': {'industry': 'Insurance'}}],['Project Management and Information Technology']
Localiza&Co,LOCALIZA RENT A CAR SA,16.670.085/0001-55,"17,908,250,234.77",Acima de 1 bilhão,Locação de automóveis sem condutor,"18,557.00",+10000,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/supervisor-de-log%25C3%25ADstica-s%25C3%25A3o-jo%25C3%25A3o-de-meriti-rj-at-localiza-co-4229041447,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,2,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",1,,,,,,,,,[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other']
Alloha Fibra,ALLOHA TELEATENDIMENTO LTDA,27.025.271/0005-81,"72,962.00",Até 100 mil,Atividades de teleatendimento,"5,152.00",5001-10000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/tecnico-a-multiskill-rede-at-alloha-fibra-4229034943,Fabricação de outros produtos alimentícios não especificados anteriormente,1,"Fabricação de aparelhos e equipamentos de medida, teste e controle",1,,,,,,,,,[{'job_industry_list': {'industry': 'Telecommunications'}}],['Other']
Cielo,CIELO S.A - INSTITUICAO DE PAGAMENTO,01.027.058/0001-91,"5,700,000,000.00",Acima de 1 bilhão,Administração de cartões de crédito,"8,910.00",5001-10000,"Barueri, São Paulo",https://www.linkedin.com/jobs/view/analista-de-pricing-pleno-at-cielo-4229019553,Atividade médica ambulatorial com recursos para realização de exames complementares,1,Fabricação de outros produtos alimentícios não especificados anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Financial Services'}}],['Marketing and Sales']
Copa Energia,COPA ENERGIA S.A.,03.237.583/0001-67,"697,445,063.00",100 milhões – 1 bilhão,Comércio atacadista de gás liqüefeito de petróleo,"3,025.00",1001-5000,São Paulo,https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-s%25C3%25AAnior-com-foco-em-dho-at-copa-energia-4228475842,Atividades de consultoria em gestão empresarial,1,Atividade médica ambulatorial com recursos para realização de exames complementares,1,,,,,,,,,[{'job_industry_list': {'industry': 'Oil and Gas'}}],"['Strategy/Planning, Human Resources, and Analyst']"
Avanade,AVANADE DO BRASIL LTDA,04.049.976/0001-00,"7,934,436.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,"17,890.00",+10000,"Seattle, Washington",https://www.linkedin.com/jobs/view/analista-pleno-de-modern-workplace-daw-english-required-at-avanade-4227914888,Comércio atacadista de óleos e gorduras,1,Atividades de consultoria em gestão empresarial,1,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Business Development and Sales']
ODDZ Network,ODDZ NETWORK LTDA.,09.262.440/0001-91,"300,000.00",100 mil – 1 milhão,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",27.00,11–50,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/octagon-coordena%25C3%25A7%25C3%25A3o-projetos-esportivos-at-oddz-network-4231032133,Atividade médica ambulatorial restrita a consultas,1,Comércio atacadista de óleos e gorduras,1,,,,,,,,,[{'job_industry_list': {'industry': 'Entertainment Providers'}}],['Project Management and Information Technology']
Capco,CAPCO BRASIL SERVICOS E CONSULTORIA LTDA,07.356.428/0001-10,"39,075,881.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,"7,397.00",5001-10000,"London, UK",https://www.linkedin.com/jobs/view/consultor-de-fatores-humanos-remoto-at-capco-4230985892,Comércio atacadista de equipamentos de informática,1,Atividade médica ambulatorial restrita a consultas,1,,,,,,,,,[{'job_industry_list': {'industry': 'Financial Services'}}],['Information Technology']
FISIA,FISIA COMERCIO DE PRODUTOS ESPORTIVOS S.A.,59.546.515/0001-34,"1,418,092,370.00",Acima de 1 bilhão,Comércio varejista de artigos esportivos,"1,041.00",1001-5000,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-s%25C3%25AAnior-at-fisia-4230158909,"Lojas de departamentos ou magazines, exceto lojas francas",1,Comércio atacadista de equipamentos de informática,1,,,,,,,,,[{'job_industry_list': {'industry': 'Sporting Goods Manufacturing'}}],['Human Resources']
Hospital das Nações,HOSPITAL DAS NACOES LTDA,77.799.823/0001-53,0.00,Até 100 mil,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",404.00,201–500,"Curitiba, Paraná",https://www.linkedin.com/jobs/view/psic%25C3%25B3logo-cl%25C3%25ADnico-hospitalar-at-hospital-das-na%25C3%25A7%25C3%25B5es-4230116112,Agências de publicidade,1,"Lojas de departamentos ou magazines, exceto lojas francas",1,,,,,,,,,[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Health Care Provider']
Extreme Digital Solutions - EDS,EXTREME DIGITAL CONSULTORIA E REPRESENTACOES LTDA,14.139.773/0001-68,"4,250,001.00",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,769.00,501–1000,"Recife, Pernambuco",https://www.linkedin.com/jobs/view/dc90-hr-business-partner-ii-at-extreme-digital-solutions-eds-4230052057,Produção musical,1,Agências de publicidade,1,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Human Resources']
Seazone,SEAZONE INVESTIMENTOS LTDA.,34.226.198/0001-48,"10,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",312.00,201–500,"Florianópolis, Santa Catarina",https://www.linkedin.com/jobs/view/analista-de-data-driven-marketing-at-seazone-4229355617,Serviços advocatícios,1,Produção musical,1,,,,,,,,,[{'job_industry_list': {'industry': 'Internet Publishing'}}],['Marketing and Sales']
Procfit,PROCFIT GESTAO ORIENTADA A PROCESSOS LTDA,09.067.820/0001-75,"500,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,254.00,201–500,"Santos, São Paulo",https://www.linkedin.com/jobs/view/analista-comercial-at-procfit-4204521608,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,1,Serviços advocatícios,1,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Sales and Management']
GP Strategies Corporation,G P STRATEGIES DO BRASIL LTDA.,03.057.651/0001-06,0.00,Até 100 mil,********,"4,294.00",1001-5000,"Columbia, MD",https://www.linkedin.com/jobs/view/banco-de-talentos-recrutador-at-gp-strategies-corporation-4229165948,Laboratórios clínicos,1,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Professional Training and Coaching and Business Consulting and Services'}}],"['Human Resources, Training, and Administrative']"
EY,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,59.527.788/0001-31,"122,992,112.00",100 milhões – 1 bilhão,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","366,668.00",+10000,London,https://www.linkedin.com/jobs/view/tech-recruiter-pleno-at-ey-4228817224,Fornecimento de alimentos preparados preponderantemente para empresas,1,Laboratórios clínicos,1,,,,,,,,,[{'job_industry_list': {'industry': 'Professional Services'}}],['Human Resources']
Strema,SC DISTRIBUICAO LTDA,07.033.496/0001-49,"411,094,912.00",100 milhões – 1 bilhão,Comércio atacadista de medicamentos e drogas de uso humano,45.00,11–50,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/analista-de-suporte-em-ciberseguran%25C3%25A7a-sr-at-strema-4226683786,Agentes de investimentos em aplicações financeiras,1,Fornecimento de alimentos preparados preponderantemente para empresas,1,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology']
Fast Tennis,FAST TENNIS FRANQUEADORA LTDA,30.980.329/0001-27,"130,000.00",100 mil – 1 milhão,Gestão de ativos intangíveis não-financeiros,21.00,11–50,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-fast-tennis-4225797999,"Comércio atacadista de cerveja, chope e refrigerante",1,Agentes de investimentos em aplicações financeiras,1,,,,,,,,,[{'job_industry_list': {'industry': 'Sports and Recreation Instruction'}}],['Human Resources']
Kovi,KOVI TECNOLOGIA S.A.,33.775.974/0001-04,"780,014,100.00",100 milhões – 1 bilhão,Locação de automóveis sem condutor,"1,551.00",1001-5000,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-risco-sr-at-kovi-4225901451,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",1,"Comércio atacadista de cerveja, chope e refrigerante",1,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Finance and Sales']
